table_catalog,table_schema,table_name,column_name,ordinal_position,column_default,is_nullable,data_type,character_maximum_length,character_octet_length,numeric_precision,numeric_precision_radix,numeric_scale,datetime_precision,interval_type,interval_precision,character_set_catalog,character_set_schema,character_set_name,collation_catalog,collation_schema,collation_name,domain_catalog,domain_schema,domain_name,udt_catalog,udt_schema,udt_name,scope_catalog,scope_schema,scope_name,maximum_cardinality,dtd_identifier,is_self_referencing,is_identity,identity_generation,identity_start,identity_increment,identity_maximum,identity_minimum,identity_cycle,is_generated,generation_expression,is_updatable
app,public,zoho_desk_tickets,id,1,uuid_generate_v4(),NO,uuid,,,,,,,,,,,,,,,,,,app,pg_catalog,uuid,,,,,1,NO,NO,,,,,,NO,NEVER,,YES
app,public,zoho_desk_tickets,org_id,2,,YES,uuid,,,,,,,,,,,,,,,,,,app,pg_catalog,uuid,,,,,2,NO,NO,,,,,,NO,NEVER,,YES
app,public,zoho_desk_tickets,ticket_id,3,,NO,character varying,20,80,,,,,,,,,,,,,,,,app,pg_catalog,varchar,,,,,3,NO,NO,,,,,,NO,NEVER,,YES
app,public,zoho_desk_tickets,created_time,4,,YES,timestamp with time zone,,,,,,6,,,,,,,,,,,,app,pg_catalog,timestamptz,,,,,4,NO,NO,,,,,,NO,NEVER,,YES
app,public,zoho_desk_tickets,closed_time,5,,YES,timestamp with time zone,,,,,,6,,,,,,,,,,,,app,pg_catalog,timestamptz,,,,,5,NO,NO,,,,,,NO,NEVER,,YES
app,public,zoho_desk_tickets,assignee_details,8,'{}'::jsonb,YES,jsonb,,,,,,,,,,,,,,,,,,app,pg_catalog,jsonb,,,,,8,NO,NO,,,,,,NO,NEVER,,YES
app,public,zoho_desk_tickets,channel,6,,YES,character varying,50,200,,,,,,,,,,,,,,,,app,pg_catalog,varchar,,,,,6,NO,NO,,,,,,NO,NEVER,,YES
app,public,zoho_desk_tickets,contact_details,9,'{}'::jsonb,YES,jsonb,,,,,,,,,,,,,,,,,,app,pg_catalog,jsonb,,,,,9,NO,NO,,,,,,NO,NEVER,,YES
app,public,zoho_desk_tickets,ticket_details,10,'{}'::jsonb,YES,jsonb,,,,,,,,,,,,,,,,,,app,pg_catalog,jsonb,,,,,10,NO,NO,,,,,,NO,NEVER,,YES
app,public,zoho_desk_tickets,ticket_metrics,11,'{}'::jsonb,YES,jsonb,,,,,,,,,,,,,,,,,,app,pg_catalog,jsonb,,,,,11,NO,NO,,,,,,NO,NEVER,,YES
app,public,zoho_desk_tickets,meta,12,'{}'::jsonb,YES,jsonb,,,,,,,,,,,,,,,,,,app,pg_catalog,jsonb,,,,,12,NO,NO,,,,,,NO,NEVER,,YES
app,public,zoho_desk_tickets,status,7,,YES,character varying,50,200,,,,,,,,,,,,,,,,app,pg_catalog,varchar,,,,,7,NO,NO,,,,,,NO,NEVER,,YES
app,public,zoho_desk_tickets,created_at,13,CURRENT_TIMESTAMP,NO,timestamp with time zone,,,,,,6,,,,,,,,,,,,app,pg_catalog,timestamptz,,,,,13,NO,NO,,,,,,NO,NEVER,,YES
app,public,zoho_desk_tickets,updated_at,14,CURRENT_TIMESTAMP,NO,timestamp with time zone,,,,,,6,,,,,,,,,,,,app,pg_catalog,timestamptz,,,,,14,NO,NO,,,,,,NO,NEVER,,YES
app,public,users,created_at,10,CURRENT_TIMESTAMP,NO,timestamp with time zone,,,,,,6,,,,,,,,,,,,app,pg_catalog,timestamptz,,,,,10,NO,NO,,,,,,NO,NEVER,,YES
app,public,users,photo_file_id,16,,YES,uuid,,,,,,,,,,,,,,,,,,app,pg_catalog,uuid,,,,,16,NO,NO,,,,,,NO,NEVER,,YES
app,public,users,org_id,13,,YES,uuid,,,,,,,,,,,,,,,,,,app,pg_catalog,uuid,,,,,13,NO,NO,,,,,,NO,NEVER,,YES
app,public,users,last_login_at,12,CURRENT_TIMESTAMP,NO,timestamp with time zone,,,,,,6,,,,,,,,,,,,app,pg_catalog,timestamptz,,,,,12,NO,NO,,,,,,NO,NEVER,,YES
app,public,users,status,15,'active'::character varying,NO,character varying,255,"1,020",,,,,,,,,,,,,,,,app,pg_catalog,varchar,,,,,15,NO,NO,,,,,,NO,NEVER,,YES
app,public,users,updated_at,11,CURRENT_TIMESTAMP,NO,timestamp with time zone,,,,,,6,,,,,,,,,,,,app,pg_catalog,timestamptz,,,,,11,NO,NO,,,,,,NO,NEVER,,YES
app,public,users,org_entity_id,18,,YES,uuid,,,,,,,,,,,,,,,,,,app,pg_catalog,uuid,,,,,18,NO,NO,,,,,,NO,NEVER,,YES
app,public,users,meta,9,'{}'::jsonb,NO,jsonb,,,,,,,,,,,,,,,,,,app,pg_catalog,jsonb,,,,,9,NO,NO,,,,,,NO,NEVER,,YES
app,public,users,dob,7,,YES,date,,,,,,0,,,,,,,,,,,,app,pg_catalog,date,,,,,7,NO,NO,,,,,,NO,NEVER,,YES
app,public,users,id,1,uuid_generate_v4(),NO,uuid,,,,,,,,,,,,,,,,,,app,pg_catalog,uuid,,,,,1,NO,NO,,,,,,NO,NEVER,,YES
app,public,users,gender,5,,NO,character varying,20,80,,,,,,,,,,,,,,,,app,pg_catalog,varchar,,,,,5,NO,NO,,,,,,NO,NEVER,,YES
app,public,users,password_hash,3,,YES,character varying,500,"2,000",,,,,,,,,,,,,,,,app,pg_catalog,varchar,,,,,3,NO,NO,,,,,,NO,NEVER,,YES
app,public,users,insurance_status,19,,YES,character varying,50,200,,,,,,,,,,,,,,,,app,pg_catalog,varchar,,,,,19,NO,NO,,,,,,NO,NEVER,,YES
app,public,users,email,2,,NO,character varying,200,800,,,,,,,,,,,,,,,,app,pg_catalog,varchar,,,,,2,NO,NO,,,,,,NO,NEVER,,YES
app,public,users,time_zone,6,,YES,character varying,50,200,,,,,,,,,,,,,,,,app,pg_catalog,varchar,,,,,6,NO,NO,,,,,,NO,NEVER,,YES
app,public,users,deleted_at,17,,YES,timestamp with time zone,,,,,,6,,,,,,,,,,,,app,pg_catalog,timestamptz,,,,,17,NO,NO,,,,,,NO,NEVER,,YES
app,public,users,display_name,4,,NO,character varying,100,400,,,,,,,,,,,,,,,,app,pg_catalog,varchar,,,,,4,NO,NO,,,,,,NO,NEVER,,YES
app,public,users,roles,8,'{guest}'::character varying[],YES,ARRAY,,,,,,,,,,,,,,,,,,app,pg_catalog,_varchar,,,,,8,NO,NO,,,,,,NO,NEVER,,YES
app,public,users,name,14,''::character varying,NO,character varying,200,800,,,,,,,,,,,,,,,,app,pg_catalog,varchar,,,,,14,NO,NO,,,,,,NO,NEVER,,YES
app,public,user_token,updated_at,6,CURRENT_TIMESTAMP,NO,timestamp with time zone,,,,,,6,,,,,,,,,,,,app,pg_catalog,timestamptz,,,,,6,NO,NO,,,,,,NO,NEVER,,YES
app,public,user_token,type,7,'invite'::character varying,YES,character varying,255,"1,020",,,,,,,,,,,,,,,,app,pg_catalog,varchar,,,,,7,NO,NO,,,,,,NO,NEVER,,YES
app,public,user_token,status,5,'active'::character varying,NO,character varying,255,"1,020",,,,,,,,,,,,,,,,app,pg_catalog,varchar,,,,,5,NO,NO,,,,,,NO,NEVER,,YES
app,public,user_token,token,2,,NO,character varying,20,80,,,,,,,,,,,,,,,,app,pg_catalog,varchar,,,,,2,NO,NO,,,,,,NO,NEVER,,YES
app,public,user_token,created_at,4,CURRENT_TIMESTAMP,NO,timestamp with time zone,,,,,,6,,,,,,,,,,,,app,pg_catalog,timestamptz,,,,,4,NO,NO,,,,,,NO,NEVER,,YES
app,public,user_token,expires_at,3,,NO,timestamp with time zone,,,,,,6,,,,,,,,,,,,app,pg_catalog,timestamptz,,,,,3,NO,NO,,,,,,NO,NEVER,,YES
app,public,user_token,meta,8,'{}'::jsonb,YES,jsonb,,,,,,,,,,,,,,,,,,app,pg_catalog,jsonb,,,,,8,NO,NO,,,,,,NO,NEVER,,YES
app,public,user_token,user_id,1,,NO,uuid,,,,,,,,,,,,,,,,,,app,pg_catalog,uuid,,,,,1,NO,NO,,,,,,NO,NEVER,,YES
app,public,user_team_designation,designation_id,4,,NO,uuid,,,,,,,,,,,,,,,,,,app,pg_catalog,uuid,,,,,4,NO,NO,,,,,,NO,NEVER,,YES
app,public,user_team_designation,reports_to,5,,YES,uuid,,,,,,,,,,,,,,,,,,app,pg_catalog,uuid,,,,,5,NO,NO,,,,,,NO,NEVER,,YES
app,public,user_team_designation,employment_type,6,,YES,character varying,200,800,,,,,,,,,,,,,,,,app,pg_catalog,varchar,,,,,6,NO,NO,,,,,,NO,NEVER,,YES
app,public,user_team_designation,status,7,'active'::character varying,NO,character varying,255,"1,020",,,,,,,,,,,,,,,,app,pg_catalog,varchar,,,,,7,NO,NO,,,,,,NO,NEVER,,YES
app,public,user_team_designation,user_id,2,,NO,uuid,,,,,,,,,,,,,,,,,,app,pg_catalog,uuid,,,,,2,NO,NO,,,,,,NO,NEVER,,YES
app,public,user_team_designation,id,1,uuid_generate_v4(),NO,uuid,,,,,,,,,,,,,,,,,,app,pg_catalog,uuid,,,,,1,NO,NO,,,,,,NO,NEVER,,YES
app,public,user_team_designation,updated_at,10,CURRENT_TIMESTAMP,NO,timestamp with time zone,,,,,,6,,,,,,,,,,,,app,pg_catalog,timestamptz,,,,,10,NO,NO,,,,,,NO,NEVER,,YES
app,public,user_team_designation,created_at,9,CURRENT_TIMESTAMP,NO,timestamp with time zone,,,,,,6,,,,,,,,,,,,app,pg_catalog,timestamptz,,,,,9,NO,NO,,,,,,NO,NEVER,,YES
app,public,user_team_designation,meta,8,'{}'::jsonb,NO,jsonb,,,,,,,,,,,,,,,,,,app,pg_catalog,jsonb,,,,,8,NO,NO,,,,,,NO,NEVER,,YES
app,public,user_team_designation,team_id,3,,NO,uuid,,,,,,,,,,,,,,,,,,app,pg_catalog,uuid,,,,,3,NO,NO,,,,,,NO,NEVER,,YES
app,public,user_segments,id,1,uuid_generate_v4(),NO,uuid,,,,,,,,,,,,,,,,,,app,pg_catalog,uuid,,,,,1,NO,NO,,,,,,NO,NEVER,,YES
app,public,user_segments,meta,4,'{}'::jsonb,NO,jsonb,,,,,,,,,,,,,,,,,,app,pg_catalog,jsonb,,,,,4,NO,NO,,,,,,NO,NEVER,,YES
